2015 8 29 0 21 13     0.00 16939.20 44426.90 47546.67 21.10 
2015 8 29 0 21 21     0.00 16939.68 44427.14 47547.06 21.09 
2015 8 29 0 21 29     0.00 16939.44 44427.14 47546.98 21.09 
2015 8 29 0 21 37     0.00 16939.44 44426.42 47546.31 21.06 
2015 8 29 0 21 45     0.00 16939.44 44427.14 47546.98 21.06 
2015 8 29 0 21 52     0.00 16939.20 44427.38 47547.12 21.05 
2015 8 29 0 22 0     0.00 16938.96 44427.14 47546.81 21.08 
2015 8 29 0 22 8     0.00 16938.24 44426.42 47545.88 21.11 
2015 8 29 0 22 16     0.00 16938.48 44426.90 47546.41 21.09 
2015 8 29 0 22 24     0.00 16938.72 44426.66 47546.28 21.08 
2015 8 29 0 22 32     0.00 16938.72 44426.18 47545.83 21.07 
2015 8 29 0 22 40     0.00 16938.24 44426.42 47545.88 21.05 
2015 8 29 0 22 48     0.00 16938.48 44426.66 47546.19 21.10 
2015 8 29 0 22 56     0.00 16938.24 44426.66 47546.11 21.13 
2015 8 29 0 23 4     0.00 16937.52 44426.42 47545.63 21.07 
2015 8 29 0 23 11     0.00 16937.29 44426.90 47545.99 21.07 
2015 8 29 0 23 19     0.00 16937.29 44426.90 47545.99 21.09 
2015 8 29 0 23 27     0.00 16937.29 44427.85 47546.88 21.10 
2015 8 29 0 23 35     0.00 16937.05 44427.85 47546.80 21.09 
2015 8 29 0 23 43     0.00 16937.05 44428.09 47547.02 21.10 
2015 8 29 0 23 51     0.00 16937.05 44427.14 47546.13 21.10 
2015 8 29 0 23 59     0.00 16936.81 44427.62 47546.49 21.10 
2015 8 29 0 24 7     0.00 16936.81 44427.14 47546.04 21.11 
2015 8 29 0 24 15     0.00 16937.05 44427.85 47546.80 21.10 
2015 8 29 0 24 23     0.00 16937.29 44427.85 47546.88 21.08 
2015 8 29 0 24 31     0.00 16937.29 44427.14 47546.21 21.07 
2015 8 29 0 24 38     0.00 16936.57 44427.14 47545.96 21.02 
2015 8 29 0 24 46     0.00 16937.05 44426.42 47545.46 21.07 
2015 8 29 0 24 54     0.00 16937.29 44426.66 47545.76 21.06 
2015 8 29 0 25 2     0.00 16937.29 44426.42 47545.54 21.09 
2015 8 29 0 25 10     0.00 16937.05 44426.42 47545.46 21.07 
2015 8 29 0 25 18     0.00 16936.09 44426.18 47544.89 21.07 
2015 8 29 0 25 26     0.00 16936.33 44426.90 47545.65 21.07 
2015 8 29 0 25 34     0.00 16936.57 44426.66 47545.51 21.07 
2015 8 29 0 25 42     0.00 16936.09 44426.66 47545.34 21.06 
2015 8 29 0 25 50     0.00 16936.33 44426.42 47545.20 21.09 
2015 8 29 0 25 57     0.00 16935.85 44426.66 47545.25 21.08 
2015 8 29 0 26 5     0.00 16935.61 44426.90 47545.39 21.08 
2015 8 29 0 26 13     0.00 16935.13 44426.90 47545.22 21.06 
2015 8 29 0 26 21     0.00 16934.89 44427.14 47545.36 21.09 
2015 8 29 0 26 29     0.00 16934.89 44426.42 47544.69 21.06 
2015 8 29 0 26 37     0.00 16934.66 44427.38 47545.50 21.07 
2015 8 29 0 26 45     0.00 16934.18 44427.62 47545.55 21.04 
2015 8 29 0 26 53     0.00 16933.70 44427.38 47545.16 21.05 
2015 8 29 0 27 1     0.00 16934.18 44427.14 47545.10 21.06 
2015 8 29 0 27 9     0.00 16933.94 44426.66 47544.57 21.06 
2015 8 29 0 27 17     0.00 16933.46 44426.66 47544.40 21.07 
